# Time-averaged data for fix myat1
# TimeStep v_velx
142800 0.00230011
142900 0.00699356
143000 0.00483488
143100 0.0068019
143200 0.00213308
143300 0.00108224
143400 0.00593355
143500 0.00703808
143600 0.00673478
143700 0.00767992
143800 -0.00375537
143900 0.00980311
144000 0.00921333
144100 0.000699544
144200 0.00361538
144300 0.00206203
144400 0.000310368
144500 0.0079147
144600 0.00322527
144700 0.000194035
144800 0.00761303
144900 0.00418842
145000 0.0140023
145100 0.00872796
145200 0.00514908
145300 0.00737049
145400 0.00192412
145500 0.00312876
145600 -0.00199185
145700 0.0107885
145800 0.00669371
145900 4.43619e-05
146000 0.000529377
146100 -0.00180146
146200 0.0073517
146300 0.00703426
146400 0.00469405
146500 0.00330339
146600 0.00516095
146700 -4.91205e-05
146800 0.001741
146900 0.00548663
147000 -0.000688241
147100 0.00122245
147200 0.00798796
147300 0.00845582
147400 -0.00269975
147500 0.00746624
147600 0.00511234
147700 0.00747279
147800 0.00903812
147900 0.00485115
148000 0.0101409
148100 0.00975697
148200 0.00526465
148300 0.00235959
148400 0.00865905
148500 0.00490012
148600 0.0088724
148700 0.00961252
148800 0.00139782
148900 0.00483613
149000 0.00321693
149100 0.00564725
149200 0.0107057
149300 0.0129378
149400 0.00528802
149500 0.00781234
149600 0.00679855
149700 0.00347924
149800 0.00772193
149900 0.00365227
150000 0.00564662
150100 0.00280594
150200 0.00494016
150300 -0.0008302
150400 0.00250287
150500 0.0118469
150600 0.00512345
150700 0.00641415
150800 0.00293488
150900 0.00507939
151000 0.00670121
151100 0.00324196
151200 0.00169769
151300 -6.6966e-05
151400 0.00524677
151500 0.000689722
151600 0.00142113
151700 -0.00046285
151800 0.0113941
151900 0.00461881
152000 0.0078506
152100 0.00363375
152200 0.0101902
